param, sample_num, score
scale, 0.9
4,2,0,2,86,486,88,15.33
4,3,0,0,49,58,49,45.79
4,4,7,6,4,162,17,9.5
4,5,2,1,22,222,25,10.12

5,1,0,4,42,197,46,18.93
5,2,1,3,112,458,116,20.21
5,3,0,0,28,79,28,26.17
5,4,5,12,3,159,20,11.17
5,5,1,2,17,227,20,8.1

