param, dataset_number, both, eng, snum, wrong, correct_rate, score, weighted_eng, weighted_snum
165,1,281,27,38,14,96.11,14857,0.42,0.58
165,2,850,93,21,27,97.28,101028,0.82,0.18
165,3,134,26,13,5,97.19,31539,0.67,0.33
147424
170,1,304,6,39,11,96.94,15908,0.13,0.87
170,2,924,24,20,23,97.68,102933,0.55,0.45
170,3,154,5,17,2,98.88,34108,0.23,0.77
152949
175,1,294,6,48,12,96.67,15827,0.11,0.89
175,2,921,26,19,25,97.48,102665,0.58,0.42
175,3,154,5,17,2,98.88,34076,0.23,0.77
152568
180,1,307,5,37,11,96.94,15969,0.12,0.88
180,2,922,28,13,28,97.17,102701,0.68,0.32
180,3,155,4,17,2,98.88,34357,0.19,0.81
153027
185,1,302,5,41,12,96.67,15919,0.11,0.89
185,2,921,27,15,28,97.17,102569,0.64,0.36
185,3,156,4,16,2,98.88,34392,0.2,0.8
152880
190,1,301,5,42,12,96.67,15930,0.11,0.89
190,2,920,27,16,28,97.17,102420,0.63,0.37
190,3,156,4,16,2,98.88,34360,0.2,0.8
152710
195,1,299,5,44,12,96.67,15908,0.1,0.9
195,2,920,26,15,30,96.97,102359,0.63,0.37
195,3,155,3,18,2,98.88,34570,0.14,0.86
152837
200,1,304,4,40,12,96.67,16021,0.09,0.91
200,2,920,25,17,29,97.07,102356,0.6,0.4
200,3,156,3,13,6,96.63,33414,0.19,0.81
151791
205,1,302,4,42,12,96.67,16019,0.09,0.91
205,2,919,26,17,29,97.07,102279,0.6,0.4
205,3,149,3,20,6,96.63,33308,0.13,0.87
151606
210,1,303,4,41,12,96.67,16016,0.09,0.91
210,2,921,24,17,29,97.07,102350,0.59,0.41
210,3,140,2,14,22,87.64,29647,0.12,0.88
148013
215,1,301,4,42,13,96.39,15965,0.09,0.91
215,2,920,27,16,28,97.17,102460,0.63,0.37
215,3,109,1,19,49,72.47,24006,0.05,0.95
142431
220,1,298,4,45,13,96.39,15958,0.08,0.92
220,2,920,24,20,27,97.28,102408,0.55,0.45
220,3,22,24,43,89,50.0,10905,0.36,0.64
129271
